# Trabajo 3 — cambios de estado observados
# inicio: 2026-09-08T17:37:56.876Z  duracion: 420s
# NADA se escribio desde esta sesion. Los controles los movio una persona
# desde la interfaz web de la consola en http://192.168.0.49/mixer.html

--- 14:38:00  volcado inicial asentado: 6665 claves. A partir de aca, solo cambios ---
14:40:56  SETD^i.0.aux.0.value^0.3847251507    (antes: 0.3829768989)
14:40:56  SETD^i.0.aux.0.value^0.3864734024    (antes: 0.3847251507)
14:40:56  SETD^i.0.aux.0.value^0.3899699059    (antes: 0.3864734024)
14:40:56  SETD^i.0.aux.0.value^0.3917181577    (antes: 0.3899699059)
14:40:56  SETD^i.0.aux.0.value^0.3934664094    (antes: 0.3917181577)
14:40:56  SETD^i.0.aux.0.value^0.3969629129    (antes: 0.3934664094)
14:40:56  SETD^i.0.aux.0.value^0.3987111647    (antes: 0.3969629129)
14:40:56  SETD^i.0.aux.0.value^0.4022076682    (antes: 0.3987111647)
14:40:56  SETD^i.0.aux.0.value^0.4057041717    (antes: 0.4022076682)
14:40:56  SETD^i.0.aux.0.value^0.4092006752    (antes: 0.4057041717)
14:40:56  SETD^i.0.aux.0.value^0.4126971787    (antes: 0.4092006752)
14:40:57  SETD^i.0.aux.0.value^0.4144454304    (antes: 0.4126971787)
14:40:57  SETD^i.0.aux.0.value^0.4161936822    (antes: 0.4144454304)
14:40:57  SETD^i.0.aux.0.value^0.4179419339    (antes: 0.4161936822)
14:40:57  SETD^i.0.aux.0.value^0.4214384374    (antes: 0.4179419339)
14:40:57  SETD^i.0.aux.0.value^0.4231866891    (antes: 0.4214384374)
14:40:57  SETD^i.0.aux.0.value^0.4266831926    (antes: 0.4231866891)
14:40:57  SETD^i.0.aux.0.value^0.4301796961    (antes: 0.4266831926)
14:40:57  SETD^i.0.aux.0.value^0.4319279479    (antes: 0.4301796961)
14:40:57  SETD^i.0.aux.0.value^0.4336761996    (antes: 0.4319279479)
14:40:57  SETD^i.0.aux.0.value^0.4371727031    (antes: 0.4336761996)
14:40:57  SETD^i.0.aux.0.value^0.4389209549    (antes: 0.4371727031)
14:40:57  SETD^i.0.aux.0.value^0.4424174584    (antes: 0.4389209549)
14:40:57  SETD^i.0.aux.0.value^0.4441657101    (antes: 0.4424174584)
14:40:57  SETD^i.0.aux.0.value^0.4476622136    (antes: 0.4441657101)
14:40:57  SETD^i.0.aux.0.value^0.4494104654    (antes: 0.4476622136)
14:40:57  SETD^i.0.aux.0.value^0.4529069689    (antes: 0.4494104654)
14:40:57  SETD^i.0.aux.0.value^0.4546552206    (antes: 0.4529069689)
14:40:57  SETD^i.0.aux.0.value^0.4581517241    (antes: 0.4546552206)
14:40:57  SETD^i.0.aux.0.value^0.4598999759    (antes: 0.4581517241)
14:40:57  SETD^i.0.aux.0.value^0.4616482276    (antes: 0.4598999759)
14:40:57  SETD^i.0.aux.0.value^0.4633964794    (antes: 0.4616482276)
14:40:57  SETD^i.0.aux.0.value^0.4651447311    (antes: 0.4633964794)
14:40:57  SETD^i.0.aux.0.value^0.4668929828    (antes: 0.4651447311)
14:40:57  SETD^i.0.aux.0.value^0.4686412346    (antes: 0.4668929828)
14:40:57  SETD^i.0.aux.0.value^0.4703894863    (antes: 0.4686412346)
14:41:06  SETD^m.mix^0.4896067302    (antes: 0.4881553514)
14:41:07  SETD^m.mix^0.491058109    (antes: 0.4896067302)
14:41:07  SETD^m.mix^0.4925094878    (antes: 0.491058109)
14:41:07  SETD^m.mix^0.4939608666    (antes: 0.4925094878)
14:41:07  SETD^m.mix^0.4954122454    (antes: 0.4939608666)
14:41:07  SETD^m.mix^0.4968636243    (antes: 0.4954122454)
14:41:07  SETD^m.mix^0.4983150031    (antes: 0.4968636243)
14:41:07  SETD^m.mix^0.4997663819    (antes: 0.4983150031)
14:41:07  SETD^m.mix^0.5012177607    (antes: 0.4997663819)
14:41:07  SETD^m.mix^0.5026691395    (antes: 0.5012177607)
14:41:07  SETD^m.mix^0.5041205183    (antes: 0.5026691395)
14:41:07  SETD^m.mix^0.5055718971    (antes: 0.5041205183)
14:41:07  SETD^m.mix^0.5070232759    (antes: 0.5055718971)
14:41:07  SETD^m.mix^0.5084746547    (antes: 0.5070232759)
14:41:07  SETD^m.mix^0.5099260335    (antes: 0.5084746547)
14:41:07  SETD^m.mix^0.5113774124    (antes: 0.5099260335)
14:41:07  SETD^m.mix^0.5128287912    (antes: 0.5113774124)
14:41:08  SETD^m.mix^0.51428017    (antes: 0.5128287912)
14:41:08  SETD^m.mix^0.5157315488    (antes: 0.51428017)
14:41:08  SETD^m.mix^0.5171829276    (antes: 0.5157315488)
14:41:08  SETD^m.mix^0.5186343064    (antes: 0.5171829276)
14:41:08  SETD^m.mix^0.5200856852    (antes: 0.5186343064)
14:41:08  SETD^m.mix^0.521537064    (antes: 0.5200856852)
14:41:08  SETD^m.mix^0.5229884428    (antes: 0.521537064)
14:41:08  SETD^m.mix^0.5244398216    (antes: 0.5229884428)
14:41:08  SETD^m.mix^0.5258912005    (antes: 0.5244398216)
14:41:08  SETD^m.mix^0.5273425793    (antes: 0.5258912005)
14:41:08  SETD^m.mix^0.5287939581    (antes: 0.5273425793)
14:41:08  SETD^m.mix^0.5316967157    (antes: 0.5287939581)
14:41:08  SETD^m.mix^0.5331480945    (antes: 0.5316967157)
14:41:08  SETD^m.mix^0.5345994733    (antes: 0.5331480945)
14:41:08  SETD^m.mix^0.5360508521    (antes: 0.5345994733)
14:41:08  SETD^m.mix^0.5375022309    (antes: 0.5360508521)
14:41:08  SETD^m.mix^0.5389536097    (antes: 0.5375022309)
14:41:08  SETD^m.mix^0.5404049886    (antes: 0.5389536097)
14:41:08  SETD^m.mix^0.5418563674    (antes: 0.5404049886)
14:41:08  SETD^m.mix^0.5433077462    (antes: 0.5418563674)
14:41:08  SETD^m.mix^0.544759125    (antes: 0.5433077462)
14:41:08  SETD^m.mix^0.5462105038    (antes: 0.544759125)
14:41:08  SETD^m.mix^0.5476618826    (antes: 0.5462105038)
14:41:09  SETD^m.mix^0.5491132614    (antes: 0.5476618826)
14:41:09  SETD^m.mix^0.5505646402    (antes: 0.5491132614)
14:41:09  SETD^m.mix^0.552016019    (antes: 0.5505646402)
14:41:09  SETD^m.mix^0.5549187767    (antes: 0.552016019)
14:41:09  SETD^m.mix^0.5563701555    (antes: 0.5549187767)
14:41:09  SETD^m.mix^0.5578215343    (antes: 0.5563701555)
14:41:09  SETD^m.mix^0.5592729131    (antes: 0.5578215343)
14:41:09  SETD^m.mix^0.5621756707    (antes: 0.5592729131)
14:41:09  SETD^m.mix^0.5636270495    (antes: 0.5621756707)
14:41:09  SETD^m.mix^0.5650784283    (antes: 0.5636270495)
14:41:09  SETD^m.mix^0.5665298071    (antes: 0.5650784283)
14:41:09  SETD^m.mix^0.5679811859    (antes: 0.5665298071)
14:41:09  SETD^m.mix^0.5708839436    (antes: 0.5679811859)
14:41:09  SETD^m.mix^0.5723353224    (antes: 0.5708839436)
14:41:09  SETD^m.mix^0.5766894588    (antes: 0.5723353224)
14:41:09  SETD^m.mix^0.5781408376    (antes: 0.5766894588)
14:41:09  SETD^m.mix^0.5795922164    (antes: 0.5781408376)
14:41:09  SETD^m.mix^0.5810435952    (antes: 0.5795922164)
14:41:09  SETD^m.mix^0.582494974    (antes: 0.5810435952)
14:41:09  SETD^m.mix^0.5839463529    (antes: 0.582494974)
14:41:09  SETD^m.mix^0.5853977317    (antes: 0.5839463529)
14:41:09  SETD^m.mix^0.5868491105    (antes: 0.5853977317)
14:41:09  SETD^m.mix^0.5883004893    (antes: 0.5868491105)
14:41:10  SETD^m.mix^0.5897518681    (antes: 0.5883004893)
14:41:10  SETD^m.mix^0.5912032469    (antes: 0.5897518681)
14:41:10  SETD^m.mix^0.5926546257    (antes: 0.5912032469)
14:41:10  SETD^m.mix^0.5941060045    (antes: 0.5926546257)
14:41:10  SETD^m.mix^0.5955573833    (antes: 0.5941060045)
14:41:10  SETD^m.mix^0.5970087621    (antes: 0.5955573833)
14:41:10  SETD^m.mix^0.5999115198    (antes: 0.5970087621)
14:41:10  SETD^m.mix^0.6013628986    (antes: 0.5999115198)
14:41:10  SETD^m.mix^0.6028142774    (antes: 0.6013628986)
14:41:10  SETD^m.mix^0.6042656562    (antes: 0.6028142774)
14:41:10  SETD^m.mix^0.605717035    (antes: 0.6042656562)
14:41:10  SETD^m.mix^0.6071684138    (antes: 0.605717035)
14:41:10  SETD^m.mix^0.6086197926    (antes: 0.6071684138)
14:41:10  SETD^m.mix^0.6100711714    (antes: 0.6086197926)
14:41:10  SETD^m.mix^0.6115225502    (antes: 0.6100711714)
14:41:10  SETD^m.mix^0.612973929    (antes: 0.6115225502)
14:41:10  SETD^m.mix^0.6144253079    (antes: 0.612973929)
14:41:10  SETD^m.mix^0.6158766867    (antes: 0.6144253079)
14:41:10  SETD^m.mix^0.6173280655    (antes: 0.6158766867)
14:41:10  SETD^m.mix^0.6187794443    (antes: 0.6173280655)
14:41:11  SETD^m.mix^0.6202308231    (antes: 0.6187794443)
14:41:11  SETD^m.mix^0.6216822019    (antes: 0.6202308231)
14:41:11  SETD^m.mix^0.6231335807    (antes: 0.6216822019)
14:41:11  SETD^m.mix^0.6245849595    (antes: 0.6231335807)
14:41:11  SETD^m.mix^0.6260363383    (antes: 0.6245849595)
14:41:11  SETD^m.mix^0.6274877171    (antes: 0.6260363383)
14:41:11  SETD^m.mix^0.628939096    (antes: 0.6274877171)
14:41:11  SETD^m.mix^0.6303904748    (antes: 0.628939096)
14:41:11  SETD^m.mix^0.6318418536    (antes: 0.6303904748)
14:41:11  SETD^m.mix^0.6332932324    (antes: 0.6318418536)
14:41:11  SETD^m.mix^0.6347446112    (antes: 0.6332932324)
14:41:11  SETD^m.mix^0.6332932324    (antes: 0.6347446112)

# total de cambios registrados: 497
# claves distintas que cambiaron: 8
#   var.currentSnapshot
#   i.0.mix
#   i.0.mute
#   hw.0.gain
#   i.0.pan
#   i.0.name
#   i.0.aux.0.value
#   m.mix
